"Date","Price","Open","High","Low","Vol.","Change %"
"2026-09-17","81.78","81.54","81.79","81.42","41.62M","1.11%"
"2026-09-16","80.88","80.94","81.56","80.86","56.48M","0.21%"
"2026-09-15","80.71","80.63","80.85","80.51","35.03M","-0.27%"
"2026-09-14","80.93","80.82","81.36","80.46","33.74M","0.07%"
"2026-09-11","80.87","81.30","81.47","80.81","32.43M","0.11%"
"2026-09-10","80.78","81.00","81.36","80.67","60.48M","-1.16%"
"2026-09-09","81.73","82.19","82.31","81.36","40.68M","-0.57%"
"2026-09-08","82.20","82.44","82.46","81.93","16.10M","-0.01%"
"2026-09-04","82.21","82.29","82.50","82.18","16.59M","0.17%"
"2026-09-03","82.07","82.36","82.43","82.06","18.04M","0.15%"
"2026-09-02","81.95","81.97","82.05","81.75","21.45M","0.10%"
"2026-09-01","81.87","81.89","82.35","81.78","25.62M","-0.79%"
"2026-08-31","82.52","82.47","82.53","82.14","37.32M","-0.43%"
"2026-08-28","82.88","83.04","83.60","82.78","35.81M","-0.30%"
"2026-08-27","83.13","83.20","83.35","83.00","17.36M","-0.20%"
"2026-08-26","83.30","83.27","83.30","83.07","20.66M","-0.20%"
"2026-08-25","83.47","83.11","83.48","82.97","35.02M","1.10%"
"2026-08-24","82.56","82.49","82.88","82.45","29.04M","0.62%"
"2026-08-21","82.05","82.17","82.27","81.90","24.27M","-0.35%"
"2026-08-20","82.34","82.36","82.77","82.15","39.57M","-0.82%"
"2026-08-19","83.02","82.81","83.06","82.61","51.31M","1.67%"
"2026-08-18","81.66","81.26","81.75","81.17","25.04M","0.38%"
"2026-08-17","81.35","81.77","81.86","81.31","31.56M","-0.84%"
"2026-08-14","82.04","82.23","82.36","81.82","31.37M","-0.67%"
"2026-08-13","82.59","82.59","83.00","82.49","26.92M","0.58%"
"2026-08-12","82.11","82.45","82.47","82.05","21.44M","-0.10%"
"2026-08-11","82.19","82.27","82.46","82.12","23.27M","0.16%"
"2026-08-10","82.06","82.40","82.45","82.03","36.74M","-0.85%"
"2026-08-07","82.76","82.79","82.85","82.48","96.13M","0.29%"
"2026-08-06","82.52","82.77","82.92","82.40","27.57M","-0.58%"
"2026-08-05","83.00","82.94","83.15","82.80","29.47M","0.22%"
